year,episode_number,title,airdate,rating,total_votes,desc
1999,1,Ore wa Rufi! Kaizoku O ni Naru Otoko Da!,1999-10-20,7.6,2951.0,"Alvida pirates plunder a ship only to find a barrel containing a strange boy names Luffy who is on a quest to find the legendary ""One Piece"" and become the King of Pirates."
2000,33,Usopp Shisu?! Luffy Jouriku wa Mada?,2000-07-19,7.8,819.0,"After Zoro escapes with Nami's help, she tries to prove her loyalty to the Arlong Pirates by appearing to kill Usopp. Meanwhile, Luffy's group finally arrives at the island."
2000,34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,2000-07-26,7.4,809.0,"Luffy, Sanji, and Yosaku made a crash landing in the plains of the island. Zoro(who got ran over by their boat) tells them that he needs to go rescue Usopp from the mermen. Only when Johnny came by all depressed and told them that Usopp has been killed by Nami. Either one of them, including Luffy couldn't believe it. Luffy declined that it's a lie, but Johnny wished that was true. Then Nami comes by and just told them all solemnly that the only reason she was with Luffy was for the money and nothing more. Sanji admired the way Nami acted serious, but Zoro corrects him..."
2000,35,Himerareta Kako! Onna Senshi Bell-mere!,2000-08-02,8.0,858.0,"Nojiko starts her story about Nami's childhood and their adopted mother, Bellemere. Despite being poor and none of them being related by blood, they had a happy life."
2000,36,Ikinuke! Haha Bellemere to Nami no Kizuna!,2000-08-09,8.9,1981.0,"Nojiko continues her story, explaining how their life was ruined when the Arlong Pirates first took over the village."
2000,37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,2000-08-16,9.2,2465.0,"When marine officers under Arlong confiscate Nami's money, the villagers start a rebelion. Desperate, Nami asks Luffy for help."
2000,38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,2000-08-23,8.1,867.0,The Straw Hats face the Fishmen themselves as the villagers watch from the sidelines.
2000,39,Luffy Suibotsu! Zoro vs Tako no Hacchan,2000-08-30,8.0,821.0,Arlong has trapped Luffy in the ocean and Zoro faces the six-sword wielding octopus Hatchan.
2000,40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,2000-09-06,8.0,818.0,"Sanji was about to help Luffy out, until Kurobi swam and knocked Sanji out. He continuously beat Sanji up with his karate moves. And didn't gave him a chance to resurface for air. Kurobi goes on how inferior Humans are when it comes to needing air to survive. As Sanji is running out of breathe, he discovers that Kurobi has gills like a fish. Which means that Kurobi will be useless if his own gills were damaged. So he bit Kurobi's gills and resurfaced to breathe again. Kurobi also resurfaced and told Sanji that it's doesn't matter if the battle in underwater or on land..."
2000,41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,2000-09-13,8.0,808.0,"With Arlong's officers defeated Zoro and Sanji take on Arlong but prove that they aren't a match for him. However, with Luffy finally free, he takes on Arlong himself."
2000,42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,2000-09-27,8.0,795.0,"Luffy returns to the fight, and the battle with Arlong versus Luffy begins."
2000,43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,2000-09-27,8.5,1292.0,The battle spreads into Arlong Park itself and Arlong is no longer holding back.
2000,44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,2000-10-11,7.8,791.0,"Arlong's reign of terror is over, and no one has anything on their mind except to party. As the crew celebrates, Nami reflects on her hometown and decides to officially join the Straw Hat Pirates."
2000,46,Mugiwara o Oe! Chiisana Buggy no Daibouken,2000-11-01,6.2,773.0,"It's morning, and the Straw Hat Pirates are enjoying their breakfast. Nami remembered when she and Luffy first meet, back when they encountered Buggy the Clown. Nami asked Luffy, if he'd know what had happen to Buggy. Luffy doesn't have a slight clue, but figures he's somewhere far away. Meanwhile on an island, the clown of terror himself, Buggy has spent his time wisely on the island Luffy punched him to the last time they met. He's shorter because he lost his parts from the last time. So he is now the height of a circus midget. He built a raft, and heads off to find..."
2000,47,Omachikane! Aa Fukkatsu no Buggy Senchou!,2000-11-08,6.1,776.0,Buggy tells the mystery woman he's accompanied with. That he's planning to find his old crew. Meanwhile we learn that that the Buggy Crew had escaped from the angry mob of villagers and had to cat off cowardly. Mohji and Cabaji both were worried on what became of their captain. As the only thing they have left of him are his parts(which were all gathered and tied up thanks to Nami). Mohji blamed Nami for Buggy to loose his parts. While Cabaji has a grudge for being defeated by Zoro. The crew heads for a tropical island and made a memorial for Buggy. As they presume ...
2000,48,Hajimari to Owari no Machi: Loguetown Jouriku,2000-11-22,7.8,777.0,"The Straw Hat Pirate Crew, has finally made it to LougeTown. The place where the famous Pirate King Gold Roger was born, raised, and died in. Luffy looks forward in seeing Gold Roger's execution platform. Meanwhile familiar enemies are lurking the town."
2000,49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,2000-11-22,7.9,832.0,"While searching for a pair of new swords to replace the ones shattered by Mihawk, Zoro meets a woman named Tashigi. At first site, she looks exactly like Kuina."
2000,50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,2000-11-29,7.4,726.0,"Usopp manages to anger the daughter of bounty hunter Daddy the Father. All because he wanted a pair of new goggles, that were meant to be a gift for Daddy. Usopp finds his own life at stake, when Daddy challenges him over a duel to claim the goggles."
2001,54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,2001-01-17,7.0,612.0,"During the storm, a girl escaped from a Marine ship. The report was sent to Admiral Nelson Royale, who is very disappointed that the marines had made this mistake. And explained to them that the girl is the key to obtaining Ryuukotsu, the elixir of eternal life. His servant Erik was given a task to search and find the girl at all costs. It's been 2 days since the Straw Hat Pirates left Loguetown. Usopp spotted a flock of bird surrounding an object at sea. Sanji explained that normally birds would do that, when a school of fish are around. Luffy got excited and used ..."
2001,55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,2001-01-24,6.7,613.0,"The Staw Hat Pirates find themselves stranded in the Calm Belt. A place where ships never come out alive. They all don't find it to be dangerous, but Nami had to explain to them on why it is an issue. The Calm Belt is a current of calm water that guards the entrance to the Grand Line. Wind and waves never occur in the Calm Belt, which makes the sails on a ship useless. Not only that but it's also home to many sea beasts. Then a huge sea monster comes out from below lifting the Going Merry. As well as a whole bunch of sea beasts came out of the water. Apis fell out of ..."
2001,56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,2001-01-31,6.6,607.0,"Nami and Luffy went to tell Usopp, Zoro, and Sanji on what they've witnessed. Only to find them all asleep, while the half asleep Bokuden is still talking about Gunkan Island's ancestry. They woke, and heard from a village local that a group of marine ships are coming ashore. Nami told the him that if Bokuden wakes up, just tell him that they'll protect Apis at all costs. When they got back to the cave, both Usopp, Sanji, and Zoro couldn't believe it for their own eyes. Apis explained to them that Ryuuji is a Ryuukotsu Dragon. Who has lost of his strength, and ..."
2001,57,Zekkai no Kotou! Densetsu no Lost Island,2001-02-07,6.5,597.0,"The Straw Hat Pirates and Apis are now taking Ryuuji back to Dragon's Nest, Lost Island. The marines back at Gunkan Island are busy repairing the damages they've caused. Erik informs the major, that he has a hunch on where they'll find the millennium dragon. And insists they head straight to where the Straw Head Pirates are going. Erik made sure that a report to Admiral Nelson won't go through. As he reveals to himself that he plans on getting the elixir of eternal life for him, to become an invincible mercenary. Admiral Nelson however got the report from a marine ..."
2001,58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,2001-02-21,6.6,582.0,"The Straw Hat Pirates. Apis and Ryuuji find themselves in a temple on what believed to be the Dragon's Nest. But all they found was a high ceiling with pictures of dragons and people. It didn't look like a place where dragons once roam. Apis asked Ryuuji, but he doesn't even know what this place is either. Usopp complained that the dragon isn't too helpful at all. While Apis started to argue with him that he's not at all helpful either. Luffy found a large piece of the ceiling that was once part of the ceiling. As well as other pieces that collapsed and caved in most ..."
2001,59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,2001-02-21,6.9,567.0,"The Going Merry is avoiding the line of fire from the Marine Ships of the 8th Divison. Admiral Nelson is entertained by the whole thing, and tells a marine official to send out a flag signal telling Major that they have it under control. Erik however isn't going to let the Admiral get the Sennenryuu for himself. And asks the Major for 3 capable men and a rowboat. Luffy, Sanji, and Zoro took Usopp's idea of cutting the steal chains seriously and will use that for their plan in getting out of here. So Luffy used his Gomu Gomu Bridge, so he, Sanji, and Zoro can get on ..."
2001,60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,2001-02-28,7.0,563.0,"Luffy tells Ryuuji to not give up hope, but he remained in the water and began to sank. Admiral Nelson orders the marines to reel in the dragon with a gun spear cannon. Luffy however prevented the spear from piercing into Ryuuji. Luffy asked him on why he's doing this. Nelson just says that the only thing he wants from the dragon is eternal youth and nothing more. Luffy got angry after hearing that and threw the spear towards the Admiral's ship which missed the Admiral completely. Luffy talks some sense to Ryuuji to forget about the whole giving up thing, and think ..."
2001,62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,2001-03-21,7.6,670.0,"The Grand Line, the greatest ocean in the world according to Luffy. As our heroes slide down the water current slope of the Red Line, it was much like a ride. As they approach to the bottom, Zoro hears a strange noise, which Nami thinks was just the wind. Usopp used his goggle to see what was up ahead, Sanji thinks it's a mountain, but Nami knows that there isn't suppose to be one. But as they approach to what looked like a mountain turned out to be a whale. The whole crew panicked as the whale is blocking their path, and the Going Merry is going at top speed. The ..."
2001,63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,2001-03-21,7.4,662.0,"Crocus told the Straw Hat Pirates the reason why Laboon is ramming against the Red Line. Long ago, when Crocus was looking after the lighthouses, a group of pirates entered the Grand Line, from Reverse Mountain. A little island whale(a young Laboon) had followed them all the way from the West Blue. Normally Island Whales travel with their own species, but not this one. Laboon made friends with the pirates he followed. After a few months, they repaired their ship and got acquainted with Crocus. The next day, the pirates left, and the captain told Crocus to look after ..."
2001,68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,2001-05-13,6.7,631.0,Coby & Helmeppo return in their own side story episode.
2001,69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,2001-05-20,6.7,628.0,Coby and Helmeppo are mentored by Vice Admiral Garp in becoming marines.
2001,70,Taiko no Shima! Little Garden ni Hisomu Kage!,2001-05-27,7.1,620.0,"Straw Hat Pirate sails toward Little Garden, and unlike its name, the prehistoric animals living on the island are far from little. Everyone spreads out for another adventure and food, while Nami and Usopp stay aboard, frightened. Not long afterward, a giant approaches the ship."
2001,71,Dekkai Kettou! Kyojin Dorry to Brogy,2001-06-03,7.3,627.0,"Nami and Usopp are taken into Brogy's camp, meanwhile, Vivi and Luffy meet another giant, Dorry. They reveal that they will fight against each other whenever the volcano on the island erupts."
2001,72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,2001-06-17,7.3,609.0,"Brogy gives Dorry booze from Nami and Usopp. The booze explodes when Dorry drinks it. The duel starts once again, and even though his chance to win is very low due to his injury, Dorry still heads into the battle."
2001,73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,2001-06-24,7.4,608.0,The salvage of a hundred year duel ends?
2001,74,Ma no Candle! Munen no Namida to Ikari no Namida,2001-07-15,7.6,617.0,"Mr. 3 manages to capture Broggy with his wax. He also captures Vivi, Nami and Zoro, and tries to turn them into wax figures."
2001,75,Luffy o Osou Maryoku! Colors Trap,2001-08-12,7.6,599.0,"Luffy tries to save Nami, Vivi and Zoro who are almost turned into wax figures. However, Miss Golden Week, partner of Mr. 3, keeps Luffy busy with her colors trap."
2001,76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,2001-08-19,7.6,602.0,"With Vivi, Nami, and Zoro are almost petrified completely by the wax and Luffy is trapped by Miss Golden Week's power, Usopp is the only one left to save them all."
2001,77,Saraba Kyojin no Shima! Arabasuta o Mezase,2001-08-19,7.5,604.0,"After defeating Baroque Works on the island, Straw Hat Pirate sets sail to Arabasta. Brogy and Dorry set them off and help them escape from the giant goldfish that tries to eat Going Merry."
2001,78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,2001-08-26,7.2,605.0,"Luffy's crew gets a trouble when their navigator, Nami, is sick, and they do not have a doctor on the ship."
2001,79,Kishuu! Bliking Gou to Blik no Wapol,2001-09-02,7.6,592.0,"Straw Hat crew tries to find a doctor in a nearby island, but they are attacked by the pirate Wapol."
2001,80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,2001-09-09,7.6,591.0,"Not only that the island has no name, it doesn't have a doctor as well. The only one called doctor lives in the castle on the mountain's top. Sanji and Luffy go taking Nami there, while Vivi and Usopp stay behind, and listen to the history of the island from Dalton."
2001,81,Happy kai? Majo to Yobareta Isha!,2001-09-16,7.6,574.0,"It turns out that Dr. Kureha is on the other side of the island, and Usopp, Vivi and Dalton rush to find her. However, Dalton returns to the village after heard that Wapol comes back."
